128,0,0
165,42,42
220,20,60
255,0,0
255,127,80
240,128,128
255,160,122
255,69,0
255,140,0
255,215,0
184,134,11
218,165,32
238,232,170
189,183,107
240,230,140
128,128,0
154,205,50
85,107,47
107,142,35
124,252,0
173,255,47
0,100,0
0,128,0
34,139,34
0,255,0
50,205,50
144,238,144
102,205,170
32,178,170
47,79,79
0,255,255
0,206,209
127,255,212
176,224,230
95,158,160
70,130,180
100,149,237
0,191,255
30,144,255
135,206,235
0,0,255
138,43,226
75,0,130
72,61,139
106,90,205
147,112,219
153,50,204
186,85,211
128,0,128
216,191,216
221,160,221
238,130,238
255,0,255
218,112,214
199,21,133
219,112,147
255,105,180
255,182,193
139,69,19
160,82,45
210,105,30
205,133,63
244,164,96
222,184,135
188,143,143
176,196,222
128,128,128
192,192,192
255,255,255
